Weight,Size,Speed,Class
86.0,99.0,6.0,panda
96.0,102.0,30.0,panda
73.0,94.0,22.0,panda
89.0,92.0,17.0,panda
78.0,101.0,18.0,panda
76.0,93.0,22.0,panda
79.0,94.0,19.0,panda
82.0,95.0,10.0,panda
86.0,98.0,30.0,panda
73.0,96.0,19.0,panda
94.0,91.0,25.0,panda
90.0,94.0,17.0,panda
70.0,86.0,28.0,panda
100.0,101.0,21.0,panda
104.0,89.0,23.0,panda
97.0,92.0,15.0,panda
83.0,98.0,26.0,panda
74.0,94.0,23.0,panda
96.0,105.0,27.0,panda
81.0,91.0,17.0,panda
97.0,99.0,18.0,panda
87.0,97.0,32.0,panda
95.0,92.0,15.0,panda
89.0,100.0,19.0,panda
92.0,97.0,26.0,panda
85.0,101.0,20.0,panda
103.0,102.0,23.0,panda
86.0,108.0,18.0,panda
89.0,104.0,22.0,panda
164.0,149.0,27.0,tiger
223.0,144.0,25.0,tiger
188.0,163.0,30.0,tiger
176.0,159.0,24.0,tiger
203.0,137.0,23.0,tiger
181.0,159.0,22.0,tiger
163.0,163.0,17.0,tiger
163.0,156.0,17.0,tiger
204.0,153.0,19.0,tiger
187.0,147.0,32.0,tiger
187.0,141.0,29.0,tiger
212.0,163.0,32.0,tiger
167.0,152.0,18.0,tiger
175.0,153.0,15.0,tiger
182.0,172.0,22.0,tiger
192.0,162.0,26.0,tiger
189.0,159.0,27.0,tiger
184.0,156.0,30.0,tiger
189.0,170.0,26.0,tiger
188.0,172.0,34.0,tiger
176.0,164.0,24.0,tiger
174.0,161.0,20.0,tiger
195.0,134.0,17.0,tiger
172.0,156.0,21.0,tiger
167.0,154.0,26.0,tiger
184.0,156.0,21.0,tiger
187.0,164.0,30.0,tiger
235.0,128.0,32.0,tiger
176.0,149.0,13.0,tiger
209.0,158.0,29.0,tiger
205.0,150.0,14.0,tiger
166.0,141.0,27.0,tiger
205.0,164.0,31.0,tiger
166.0,158.0,25.0,tiger
137.0,145.0,19.0,tiger
202.0,158.0,22.0,tiger
155.0,163.0,24.0,tiger
199.0,155.0,24.0,tiger
176.0,163.0,24.0,tiger
223.0,156.0,24.0,tiger
211.0,151.0,26.0,tiger
181.0,143.0,19.0,tiger
176.0,154.0,24.0,tiger
166.0,157.0,33.0,tiger
181.0,164.0,23.0,tiger
184.0,154.0,23.0,tiger
183.0,160.0,30.0,tiger
193.0,145.0,12.0,tiger
202.0,147.0,31.0,tiger
197.0,154.0,22.0,tiger
175.0,144.0,26.0,tiger
161.0,163.0,25.0,tiger
217.0,160.0,30.0,tiger
176.0,158.0,24.0,tiger
177.0,158.0,22.0,tiger
180.0,175.0,31.0,tiger
153.0,150.0,13.0,tiger
180.0,133.0,25.0,tiger
180.0,157.0,18.0,tiger
202.0,154.0,21.0,tiger
204.0,150.0,35.0,tiger
190.0,145.0,25.0,tiger
209.0,151.0,26.0,tiger
197.0,157.0,16.0,tiger
190.0,150.0,21.0,tiger
193.0,179.0,26.0,tiger
186.0,145.0,27.0,tiger
182.0,147.0,28.0,tiger
185.0,132.0,25.0,tiger
167.0,158.0,28.0,tiger
196.0,135.0,27.0,tiger
170.0,150.0,16.0,tiger
207.0,152.0,25.0,tiger
185.0,148.0,29.0,tiger
191.0,172.0,28.0,tiger
200.0,165.0,23.0,tiger
203.0,168.0,21.0,tiger
159.0,146.0,19.0,tiger
186.0,166.0,24.0,tiger
208.0,160.0,31.0,tiger
156.0,163.0,15.0,tiger
198.0,165.0,22.0,tiger
145.0,146.0,19.0,tiger
170.0,151.0,29.0,tiger
191.0,164.0,22.0,tiger
157.0,128.0,23.0,tiger
170.0,170.0,24.0,tiger
161.0,161.0,27.0,tiger
223.0,155.0,23.0,tiger
193.0,157.0,10.0,tiger
201.0,145.0,28.0,tiger
186.0,152.0,27.0,tiger
183.0,166.0,24.0,tiger
158.0,168.0,20.0,tiger
184.0,182.0,27.0,tiger
175.0,154.0,27.0,tiger
207.0,148.0,23.0,tiger
213.0,150.0,24.0,tiger
219.0,145.0,20.0,tiger
207.0,154.0,24.0,tiger
1.0,16.0,82.0,cat
13.0,17.0,64.0,cat
4.0,19.0,38.0,cat
11.0,28.0,28.0,cat
2.0,24.0,68.0,cat
6.0,34.0,52.0,cat
9.0,28.0,55.0,cat
0.0,23.0,39.0,cat
11.0,29.0,-11.0,cat
8.0,24.0,37.0,cat
-0.0,19.0,24.0,cat
2.0,26.0,59.0,cat
14.0,20.0,70.0,cat
15.0,22.0,20.0,cat
9.0,30.0,54.0,cat
12.0,22.0,92.0,cat
11.0,19.0,20.0,cat
12.0,21.0,90.0,cat
18.0,28.0,14.0,cat
1.0,20.0,41.0,cat
14.0,21.0,40.0,cat
8.0,20.0,40.0,cat
9.0,24.0,15.0,cat
8.0,21.0,22.0,cat
8.0,15.0,20.0,cat
3.0,19.0,50.0,cat
11.0,18.0,50.0,cat
20.0,29.0,107.0,cat
10.0,27.0,81.0,cat
10.0,26.0,25.0,cat
6.0,20.0,50.0,cat
9.0,19.0,70.0,cat
13.0,20.0,41.0,cat
8.0,18.0,38.0,cat
7.0,35.0,42.0,cat
12.0,12.0,66.0,cat
4.0,26.0,15.0,cat
12.0,17.0,30.0,cat
15.0,22.0,54.0,cat
18.0,18.0,49.0,cat
9.0,17.0,47.0,cat
18.0,17.0,29.0,cat
16.0,32.0,69.0,cat
4.0,22.0,104.0,cat
3.0,19.0,52.0,cat
8.0,26.0,34.0,cat
16.0,23.0,63.0,cat
10.0,27.0,24.0,cat
6.0,14.0,18.0,cat
19.0,25.0,41.0,cat
12.0,27.0,-37.0,cat
-4.0,15.0,5.0,cat
12.0,25.0,30.0,cat
13.0,31.0,-1.0,cat
11.0,23.0,9.0,cat
13.0,27.0,27.0,cat
10.0,26.0,-9.0,cat
2.0,19.0,28.0,cat
8.0,23.0,24.0,cat
4.0,15.0,41.0,cat
4.0,21.0,75.0,cat
2.0,24.0,45.0,cat
13.0,27.0,41.0,cat
11.0,23.0,43.0,cat
7.0,27.0,47.0,cat
6.0,17.0,9.0,cat
10.0,22.0,37.0,cat
16.0,23.0,49.0,cat
-2.0,32.0,-1.0,cat
12.0,22.0,66.0,cat
7.0,21.0,72.0,cat
-1.0,23.0,21.0,cat
-2.0,18.0,33.0,cat
5.0,24.0,14.0,cat
11.0,21.0,61.0,cat
12.0,14.0,8.0,cat
4.0,23.0,33.0,cat
16.0,21.0,14.0,cat
19.0,15.0,42.0,cat
12.0,23.0,-14.0,cat
6.0,30.0,80.0,cat
17.0,26.0,11.0,cat
15.0,26.0,42.0,cat
15.0,16.0,34.0,cat
6.0,25.0,17.0,cat
-7.0,24.0,13.0,cat
23.0,26.0,68.0,cat
0.0,25.0,24.0,cat
10.0,16.0,48.0,cat
24.0,23.0,16.0,cat
12.0,19.0,21.0,cat
16.0,23.0,54.0,cat
1.0,19.0,68.0,cat
-1.0,30.0,35.0,cat
7.0,19.0,-3.0,cat
17.0,19.0,100.0,cat
8.0,23.0,14.0,cat
5.0,18.0,-6.0,cat
11.0,21.0,118.0,cat
16.0,19.0,28.0,cat
